run,dataset,num_neighbors,removal,pqr,all_data_hamm_loss,all_data_zero_loss,removed_data_hamm_loss,removed_data_zero_loss
0,Family,25,5,0_1_0,0.175467546754675,0.896039603960396,0.204545454545455,0.909090909090909
0,Family,5,5,1_0_0,0.48982398239824,1,0.537878787878788,1
0,Family,10,5,1_0_0,0.493674367436744,1,0.542929292929293,1
0,Family,15,5,1_0_0,0.48047304730473,1,0.527777777777778,1
0,Family,20,5,1_0_0,0.505225522552255,1,0.563131313131313,1
0,Family,25,5,1_0_0,0.505775577557756,1,0.545454545454545,1
0,Family,5,5,1_1_1,0.386688668866887,1,0.393939393939394,1
0,Family,10,5,1_1_1,0.369086908690869,1,0.373737373737374,1
0,Family,15,5,1_1_1,0.382288228822882,1,0.391414141414141,1
0,Family,20,5,1_1_1,0.378437843784378,1,0.386363636363636,1
0,Family,25,5,1_1_1,0.388063806380638,1,0.396464646464646,1
0,Family,5,10,0_0_0,0.347634763476348,1,0.380246913580247,1
0,Family,10,10,0_0_0,0.350935093509351,1,0.385185185185185,1
0,Family,15,10,0_0_0,0.351485148514851,1,0.383950617283951,1
0,Family,20,10,0_0_0,0.351210121012101,1,0.383950617283951,1
0,Family,25,10,0_0_0,0.3501100110011,1,0.383950617283951,1
0,Family,5,10,0_0_1,0.179317931793179,0.95049504950495,0.24320987654321,1
0,Family,10,10,0_0_1,0.174917491749175,0.900990099009901,0.232098765432099,0.955555555555556
0,Family,15,10,0_0_1,0.169141914191419,0.905940594059406,0.222222222222222,1
0,Family,20,10,0_0_1,0.172442244224422,0.896039603960396,0.218518518518519,0.955555555555556
0,Family,25,10,0_0_1,0.174367436743674,0.915841584158416,0.22962962962963,1
0,Family,5,10,0_1_0,0.177117711771177,0.920792079207921,0.220987654320988,0.955555555555556
0,Family,10,10,0_1_0,0.18041804180418,0.910891089108911,0.225925925925926,1
0,Family,15,10,0_1_0,0.177942794279428,0.905940594059406,0.222222222222222,0.977777777777778
0,Family,20,10,0_1_0,0.16969196919692,0.900990099009901,0.212345679012346,0.955555555555556
0,Family,25,10,0_1_0,0.173542354235424,0.896039603960396,0.217283950617284,0.955555555555556
0,Family,5,10,1_0_0,0.577282728272827,1,0.55679012345679,1
0,Family,10,10,1_0_0,0.6001100110011,1,0.561728395061728,1
0,Family,15,10,1_0_0,0.599284928492849,1,0.566666666666667,1
0,Family,20,10,1_0_0,0.60973597359736,1,0.581481481481482,1
0,Family,25,10,1_0_0,0.602035203520352,1,0.569135802469136,1
0,Family,5,10,1_1_1,0.367436743674367,1,0.402469135802469,1
0,Family,10,10,1_1_1,0.373212321232123,1,0.401234567901235,1
0,Family,15,10,1_1_1,0.378162816281628,1,0.411111111111111,1
0,Family,20,10,1_1_1,0.370737073707371,1,0.401234567901235,1
0,Family,25,10,1_1_1,0.378987898789879,1,0.409876543209877,1
0,Family,5,15,0_0_0,0.323157315731573,1,0.35663082437276,1
0,Family,10,15,0_0_0,0.333883388338834,1,0.362903225806452,1
0,Family,15,15,0_0_0,0.333608360836084,1,0.367383512544803,1
0,Family,20,15,0_0_0,0.327282728272827,1,0.364695340501792,1
0,Family,25,15,0_0_0,0.327007700770077,1,0.362007168458781,1
0,Family,5,15,0_0_1,0.188118811881188,0.945544554455445,0.227598566308244,1
0,Family,10,15,0_0_1,0.18014301430143,0.910891089108911,0.217741935483871,0.983870967741935
0,Family,15,15,0_0_1,0.181518151815182,0.905940594059406,0.21594982078853,0.967741935483871
0,Family,20,15,0_0_1,0.180968096809681,0.925742574257426,0.212365591397849,1
0,Family,25,15,0_0_1,0.178492849284929,0.915841584158416,0.209677419354839,0.983870967741935
0,Family,5,15,0_1_0,0.232123212321232,0.985148514851485,0.264336917562724,1
0,Family,10,15,0_1_0,0.233223322332233,0.99009900990099,0.270609318996416,1
0,Family,15,15,0_1_0,0.226622662266227,0.985148514851485,0.255376344086021,1
0,Family,20,15,0_1_0,0.226072607260726,0.99009900990099,0.262544802867383,1
0,Family,25,15,0_1_0,0.224972497249725,0.985148514851485,0.252688172043011,1
0,Family,5,15,1_0_0,0.532178217821782,1,0.530465949820789,1
0,Family,10,15,1_0_0,0.526677667766777,1,0.525985663082437,1
0,Family,15,15,1_0_0,0.556105610561056,1,0.550179211469534,1
0,Family,20,15,1_0_0,0.543179317931793,1,0.529569892473118,1
0,Family,25,15,1_0_0,0.567106710671067,1,0.564516129032258,1
0,Family,5,15,1_1_1,0.440594059405941,1,0.485663082437276,1
0,Family,10,15,1_1_1,0.416666666666667,1,0.452508960573477,1
0,Family,15,15,1_1_1,0.419416941694169,1,0.462365591397849,1
0,Family,20,15,1_1_1,0.41996699669967,1,0.477598566308244,1
0,Family,25,15,1_1_1,0.423817381738174,1,0.474910394265233,1
0,Family,5,20,0_0_0,0.333058305830583,1,0.383468834688347,1
0,Family,10,20,0_0_0,0.331958195819582,1,0.384146341463415,1
0,Family,15,20,0_0_0,0.338008800880088,1,0.387533875338753,1
0,Family,20,20,0_0_0,0.34020902090209,1,0.389566395663957,1
0,Family,25,20,0_0_0,0.341309130913091,1,0.386856368563686,1
0,Family,5,20,0_0_1,0.183993399339934,0.910891089108911,0.233739837398374,0.963414634146341
0,Family,10,20,0_0_1,0.184268426842684,0.910891089108911,0.240514905149051,0.98780487804878
0,Family,15,20,0_0_1,0.184268426842684,0.925742574257426,0.233062330623306,0.98780487804878
