run,dataset,class_name,removal,pqr,all_data_recall,all_data_f1,all_data_precision,all_data_accuracy,all_data_jaccard,removed_data_recall,removed_data_f1,removed_data_precision,removed_data_accuracy,removed_data_jaccard
0,Family,Sister,15,1_0_0,1.0,0.3574468085106383,0.21761658031088082,0.2524752475247525,0.21761658031088082,1.0,1.0,1.0,1.0,1.0
0,Family,Sister,15,1_1_1,0.023809523809523808,0.019230769230769232,0.016129032258064516,0.49504950495049505,0.009708737864077669,0.16666666666666666,0.2857142857142857,1.0,0.16666666666666666,0.16666666666666666
0,Family,Sister,20,0_0_0,0.2619047619047619,0.41509433962264153,1.0,0.8465346534653465,0.2619047619047619,0.0,0.0,0.0,0.0,0.0
0,Family,Sister,20,0_0_1,1.0,0.711864406779661,0.5526315789473685,0.8316831683168316,0.5526315789473685,1.0,1.0,1.0,1.0,1.0
0,Family,Sister,20,0_1_0,0.9523809523809523,0.9195402298850575,0.8888888888888888,0.9653465346534653,0.851063829787234,0.75,0.8571428571428571,1.0,0.75,0.75
0,Family,Sister,20,1_0_0,1.0,0.3574468085106383,0.21761658031088082,0.2524752475247525,0.21761658031088082,1.0,1.0,1.0,1.0,1.0
0,Family,Sister,20,1_1_1,0.023809523809523808,0.019417475728155338,0.01639344262295082,0.5,0.00980392156862745,0.125,0.2222222222222222,1.0,0.125,0.125
0,Family,Sister,25,0_0_0,0.2857142857142857,0.4444444444444444,1.0,0.8514851485148515,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
0,Family,Sister,25,0_0_1,1.0,0.7241379310344828,0.5675675675675675,0.8415841584158416,0.5675675675675675,1.0,1.0,1.0,1.0,1.0
0,Family,Sister,25,0_1_0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9702970297029703,0.8666666666666667,0.7,0.8235294117647058,1.0,0.7,0.7
0,Family,Sister,25,1_0_0,1.0,0.3620689655172414,0.22105263157894736,0.26732673267326734,0.22105263157894736,1.0,1.0,1.0,1.0,1.0
0,Family,Sister,25,1_1_1,0.047619047619047616,0.03669724770642202,0.029850746268656716,0.4801980198019802,0.018691588785046728,0.1,0.18181818181818182,1.0,0.1,0.1
0,Family,Sister,30,0_0_0,0.2619047619047619,0.41509433962264153,1.0,0.8465346534653465,0.2619047619047619,0.0,0.0,0.0,0.0,0.0
0,Family,Sister,30,0_0_1,1.0,0.7241379310344828,0.5675675675675675,0.8415841584158416,0.5675675675675675,1.0,1.0,1.0,1.0,1.0
0,Family,Sister,30,0_1_0,0.9047619047619048,0.9156626506024096,0.926829268292683,0.9653465346534653,0.8444444444444444,0.6666666666666666,0.8,1.0,0.6666666666666666,0.6666666666666666
0,Family,Sister,30,1_0_0,1.0,0.37333333333333335,0.22950819672131148,0.30198019801980197,0.22950819672131148,1.0,1.0,1.0,1.0,1.0
0,Family,Sister,30,1_1_1,0.07142857142857142,0.05504587155963303,0.04477611940298507,0.4900990099009901,0.02830188679245283,0.16666666666666666,0.2857142857142857,1.0,0.16666666666666666,0.16666666666666666
0,Family,Sister,35,0_0_0,0.21428571428571427,0.35294117647058826,1.0,0.8366336633663366,0.21428571428571427,0.0,0.0,0.0,0.0,0.0
